OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV1501	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
ASV942	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
ASV1661	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
ASV1504	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured organism	?
ASV2925	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	uncultured Nitrosomonas sp.
ASV1499	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV1498	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	?
ASV2410	Bacteria	Firmicutes	?	?	?	?	?
ASV5008	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
ASV1503	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV1508	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
ASV1559	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV1502	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	?
ASV820	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
ASV1513	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
ASV2375	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV1517	Bacteria	Firmicutes	Bacilli	Lactobacillales	?	?	?
ASV1521	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	?
ASV1524	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
ASV1859	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
ASV1572	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV1523	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. Marseille-P2666
ASV1701	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	?
ASV2371	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter apodemus
ASV1709	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	?
ASV1531	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. Marseille-P3132
ASV1534	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
ASV1127	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae
ASV1533	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
ASV364	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	?
ASV2478	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
ASV1795	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	?
ASV1527	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	?
ASV1538	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
ASV2592	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
ASV1536	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
ASV1535	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Proteocatella	Frigovirgula sp.
ASV1540	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter muridarum
ASV1823	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] hallii group	?
ASV4245	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
ASV2087	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus
ASV1548	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	?
ASV2289	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	?
ASV6928	Bacteria	Firmicutes	?	?	?	?	?
ASV3324	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
ASV1539	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
ASV1547	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	uncultured Acetivibrio sp.	?	?
ASV1545	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	?
ASV1549	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	uncultured rumen bacterium
ASV2624	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV822	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
ASV1550	Bacteria	Firmicutes	Clostridia	?	uncultured organism	?	?
ASV2093	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinicella	Sphingosinicella microcystinivorans
ASV1562	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured organism	?
ASV579	Bacteria	Firmicutes	?	?	?	?	?
ASV1561	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus sp. canine oral taxon 344
ASV2149	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera elsdenii
ASV4800	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
ASV1556	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	?
ASV1569	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	?
ASV1568	Bacteria	?	?	?	?	?	?
ASV1567	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
ASV5549	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV828	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
ASV1573	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
ASV749	Bacteria	Firmicutes	Clostridia	Lachnospirales	?	?	?
ASV1575	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	?
ASV42	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
ASV2565	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
ASV5480	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
ASV1579	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
ASV1673	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
ASV2032	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. Nj-68
ASV1585	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
ASV3012	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cholecystus
ASV1582	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	?	?
ASV1581	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV6253	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
ASV1586	Bacteria	Firmicutes	Clostridia	?	uncultured organism	?	?
ASV1591	Bacteria	Firmicutes	?	?	?	?	?
ASV727	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV2402	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus lylae
ASV2701	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
ASV6440	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	?	?
ASV1590	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV2174	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	?
ASV1593	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	?	?
ASV6808	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	?
ASV1603	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter apodemus
ASV1595	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	?
ASV1654	Bacteria	Firmicutes	Bacilli	Lactobacillales	?	?	?
ASV4384	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus	?
ASV1601	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	?
ASV2185	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV1619	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
ASV1606	Bacteria	Firmicutes	Bacilli	Lactobacillales	?	?	?
ASV1612	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gauvreauii group	?
ASV1624	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
ASV1616	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	?	?
ASV1630	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter sp. MIT 01-6242
ASV3356	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
ASV1631	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
ASV3479	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	?	?	?
ASV1633	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV18	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
ASV296	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	?
ASV1636	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
ASV2610	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
ASV6108	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	?
ASV1642	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
ASV1644	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV437	Bacteria	Firmicutes	Clostridia	?	?	?	?
