Family	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	18	4496	5323	103	6918	213	9436	9541	45267	3137	50	617	1216	52	4328	8208	3900	1577	2685	4	0	2351	5	2681	11	206	9	21	1300	7245	4057	1144	5580	4	24	2	4	3	32904	781	1422	7587	1001	593	7138	84	8090	1031	773	2899	2976	4085	4005	17564	8004	1115	171	4368	3622	1614	16804	8937	5285	6039	262	9066	5938	42	2589	9010	817	889	1238	129	4529	3348	5885	1543	121	77	481	223	1505	4173	6531	5148	7449	690	251	995	235	1623	2445	82	12303	614	3611	2322	19445	1243	697	9129	12008	3872	2617	3219	6722	101	10052	16196	1591	171	3912	370	9496	4658	3389	21	15	5122	0	6694	2	3	87	4	911	3	32	2136	20	3644	1536	1213	39	739
Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Gemellales;Gemellaceae	0	0	2	0	0	0	2	1	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	0	0	6	0	0	4	0	0	0	0	0	0	0	0	6	3	1	0	0	4	0	44	0	0	0	1	0	0	2	0	0	0	0	0	20	0	0	0	0	5	2	13	0	3	7	0	2	12	2	1	7	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Izemoplasmatales;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Izemoplasmatales;gut metagenome	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	6	43	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	3	0	10	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;?	1225	0	72	4942	91	109	4616	10045	10792	2349	1	287	293	279	849	6647	687	252	1422	107	49	290	116	104	2584	310	8	266	3852	978	1065	106	1000	50	197	7	75	81	12238	7149	995	4659	12	10582	96	42	388	3904	42359	584	155	1544	2147	72202	6070	1218	181	37397	18620	2213	3047	23076	8316	5133	1000	2584	3374	126	2930	6526	18213	4178	3201	1390	12161	8601	8663	200	48	19	573	339	4225	784	10657	559	6098	538	1031	4114	411	1862	1219	72	1949	113	1723	290	15624	2323	405	8484	6687	1235	29281	8985	277	80	408	5513	1068	42	1700	146	33082	286	249	11337	3247	162	2011	11332	8	15	27	51	600	4	7	274	6	58	25	1478	91	1930
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	6	0	2	173	2	27	600	2148	791	109	0	0	7	55	4	1961	475	164	44	6	52	11	11	1	686	41	15	21	833	18	17	507	23	12	52	3	2	3	11310	4696	246	3364	19	9383	0	8	0	2434	1707	73	0	11123	10736	3647	29907	27	2242	4307	3245	3519	102	9125	7395	1098	738	237	4723	99	400	667	2145	107	61	91	332	22887	2020	13	57	97	613	90	5295	64	4169	49	1595	725	217	645	121	200	15	153	91	33	4699	9	289	145	8	300	289	23	3121	675	17	376	7	1152	349	9	206	171	4059	19	22	174	51	0	0	70	0	0	0	0	2	0	0	0	0	0	10	0	0	54
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	21	0	0	24	0	29	77	52	236	22	0	1	33	53	9	75	14	1	0	3	156	42	8	10	550	27	32	92	38	2	8	306	0	4	10	5	7	19	1	75	0	783	318	179	14	68	5	291	204	4	100	1443	171	145	3239	0	195	213	73	568	23	282	135	45	0	6	58	0	10	50	366	37	15	122	84	2422	778	8	196	8	180	21	61	6	572	0	348	0	94	488	7	182	11	1	21	1	15	171	416	206	0	528	439	3	1405	400	1	0	0	212	673	17	0	82	3072	2	28	39	0	0	0	17	410	258	150	2491	7	32	155	314	71	337	0	0	0	78
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0	0	12	0	23	0	153	45	134	487	51	38	92	14	6	289	34	14	75	4	0	28	0	0	2378	141	456	284	0	61	22	0	38	35	82	3	26	24	3	2060	0	14	12	58	7	11	33	63	48	102	14	10	4	84	78	22	1	87	9	232	136	11	17	37	0	200	13	0	9	146	42	4	12	0	384	84	215	17	0	7	2	0	4	118	6	1	6	31	0	55	0	3	65	0	29	0	23	31	28	510	67	5	39	206	15	53	14	0	15	6	1	0	0	0	18	4	0	0	0	1	0	5	0	2	0	0	12	0	34	4	37	13	0	0	49	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	50196	4765	8802	105654	10295	139	21128	9736	20184	8579	38	1608	2813	5165	2068	2290	3315	4554	1565	1918	296	3727	3059	1771	6193	2631	106	1103	2105	990	1073	1383	2190	3303	1608	9152	14448	2136	3286	58372	1370	5574	6345	8276	92	202	380	9157	7099	1188	41	6831	299	69262	2182	327	1049	37792	4361	595	414	30704	10120	5951	1733	2307	24309	118	1830	1873	15411	1866	2212	948	15270	3557	407	175	1008	28	122	429	72286	467	2770	416	1960	102	46	332	494	382	346	91	2887	182	784	137	5348	56562	1759	1277	1277	3546	1245	216	206	140	136	25491	137	16	4624	247	18139	446	878	42838	62276	761	15981	52186	177	168	402	1300	7274	627	52	33	189	19	134	126065	8700	67153
