Family	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae	90	0	1	150	0	0	127	91	77	8	0	1	7	116	0	451	30	347	1	2	0	5	0	1	1560	6	0	82	1174	7	16	0	9	0	0	0	0	8	0	517	63	251	0	275	0	0	3	67	301	6	0	255	493	613	1031	6	80	581	231	190	42	479	279	376	187	26	316	4	77	469	709	11	11	224	44	7224	16212	19	18	0	381	2	212	89	305	8	33	23	234	1417	0	285	88	76	1021	21	2356	16	365	215	11	983	577	4	16725	4980	10	0	1	1151	2456	88	0	59	12324	7	0	292	94	0	48	143	2	0	0	4	0	0	3	0	0	0	0	8	0	136
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae	51	0	4	9	20	51	260	1117	395	341	40	23	154	97	19	9039	26	2349	294	37	625	112	19	26	10711	383	1261	945	184	54	28	817	80	48	179	37	118	1045	738	1090	0	3499	217	1097	10	10	32	655	3132	104	7	16463	15355	8150	91608	81	1460	7717	6107	4467	365	11808	8369	3314	1741	1022	5063	88	776	8468	4138	357	357	784	2343	19860	2991	45	9	156	945	72	3343	209	5741	188	7747	2152	148	2206	188	4678	4352	87	914	55	559	72	5070	453	1169	6324	2559	2135	3122	1050	221	62	250	1096	84	3	166	425	4624	251	2182	22	2	4	0	109	0	0	0	0	2	3	57	1	57	5	4	2	0	66
Bacteria;Firmicutes;Bacilli;Thermicanales;Thermicanaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;?	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae	0	0	0	0	0	0	12	2	47	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;?;?	7	5325	8985	91	11980	559	1754	2196	2010	5773	41	18861	5415	153	9110	6936	8348	1535	6300	3847	959	3407	1144	2098	15	445	128	405	286	7019	6720	1353	2240	15	38	9	52	112	365	1969	25	669	2712	1193	6821	523	7503	1367	293	10682	3760	800	821	386	22	3087	132	590	65	348	6334	839	357	2433	419	3211	508	171	1702	6712	582	216	5026	255	6773	71	1986	3881	872	127	211	1766	304	6522	442	5618	1390	98	1134	4366	809	4353	6685	233	5735	1202	2989	3950	2406	2211	26717	3115	3201	7143	236	3805	6829	1609	4092	640	1047	74	954	813	652	3897	282	821	411	2429	726	524	3	26	329	9	5435	2399	403	2579	446	3943	374	2	167	1
Bacteria;Firmicutes;Clostridia;?;uncultured organism	0	0	0	0	0	0	0	5	0	14	0	22	3	0	31	1	0	0	10	0	0	0	0	12	0	0	0	0	0	15	26	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	17	0	0	37	0	0	0	0	0	1	0	0	0	0	4	34	9	15	0	72	0	0	0	0	0	0	16	0	39	0	0	0	0	0	0	6	0	4	0	95	0	0	0	0	0	0	31	0	83	0	0	0	1	0	29	10	0	106	132	0	67	0	161	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	15	0	0	0
Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;?	0	119	282	0	260	18	86	101	55	488	0	213	571	0	1108	1870	67	12	1125	0	2	776	0	926	1	120	28	6	37	274	259	0	101	0	0	0	0	0	0	42	0	201	11	0	47	4	122	1	30	803	37	1	36	11	0	634	2	54	4	3	185	26	36	38	0	79	0	10	391	1729	19	3	377	0	1324	0	44	46	100	2	10	59	3	122	72	1198	75	3	21	119	14	151	219	42	1051	100	115	120	88	58	367	141	538	591	222	230	166	1	144	11	56	3	4	32	12	720	25	0	0	536	0	500	0	0	1	0	81	0	0	8	0	27	27	0	3	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	7	1423	898	0	1065	112	186	614	253	2663	0	807	720	0	1460	2596	213	196	10361	1	0	5899	1	6148	0	691	76	0	11	9384	7101	0	2221	0	0	0	0	0	204	21	0	204	215	76	1631	15	2879	101	54	7651	451	497	14	1	84	7648	0	85	13	437	1382	78	100	468	0	1198	0	0	396	2517	0	0	778	188	2134	21	7	484	0	56	16	68	0	137	93	2954	0	13	68	18	110	459	1560	277	1494	190	1	523	156	8	1256	336	389	2362	366	37	1487	592	1507	35	43	8	0	228	0	1653	466	6	6	325	0	126	0	0	42	0	358	2	5	379	1	659	317	16	5	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;?	0	741	1824	0	3323	23	824	235	88	131	2	302	445	0	549	398	226	9	570	2	0	737	0	355	0	13	0	0	29	1435	519	26	135	0	1	0	0	0	583	5	0	399	0	3	3	0	5	0	0	426	0	585	76	86	158	88	0	70	12	379	96	25	48	98	0	21	36	0	135	453	32	57	434	0	844	4	0	40	0	13	1	52	0	70	157	756	194	35	0	17	44	171	1519	0	450	73	0	48	9	3	476	356	234	481	1	2	3445	166	5434	59	10	0	0	61	317	749	0	0	0	144	0	41	0	0	25	0	456	0	0	0	0	0	22	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Acetivibrio sp.	0	0	0	0	9	5	14	42	23	170	0	0	5	0	2	2	11	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	98	0	0	0	0	8	0	0	0	0	0	94	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	48	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	37	3	0	13	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Clostridiales bacterium	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	38	1	0	0	5	0	0	2	0	0	0	0	0	5	0	0	10	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured rumen bacterium	0	0	0	0	2	0	0	19	4	0	0	0	0	0	3	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	15	0	0	0	0	1	12	1	0	0	0	0	0	0	3	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	20	0	41	2	0	1	0	0	6	0	0	16	0	2	0	0	1	15	0	0	0	0	95	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;?	0	594	91	0	64	84	16	27	24	28	0	311	255	0	292	1	282	0	42	0	0	140	0	263	0	7	6	0	10	816	1037	108	609	0	0	0	0	0	0	2	0	0	19	3	7	10	18	31	13	1299	27	64	0	1	0	120	0	0	0	0	1	39	92	19	0	11	0	0	41	1	0	0	170	3	15	0	0	8	461	0	0	88	0	18	0	1902	0	0	134	2	116	193	126	0	0	31	0	44	14	5	37	0	20	379	0	0	1044	2	625	0	2	7	240	39	189	578	380	0	0	22	0	5	0	0	44	0	510	5	63	33	52	11	18	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;gut metagenome	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured organism	0	0	0	0	0	0	0	0	0	4	0	10	57	0	70	0	0	0	3	0	0	10	0	10	0	2	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	68	16	96	12	122	8	0	10	40	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	5	0	36	0	0	0	0	0	5	2	0	0	4	0	74	0	1	3	0	0	55	0	0	80	0	56	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	3	0	12	0	2	139	0	113	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured rumen bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;?	0	418	2071	0	2802	144	1026	1071	251	2401	3	2489	2122	28	8074	6672	1137	6	1842	0	0	1350	0	1119	0	35	17	2	0	1278	3447	134	2595	2	1	0	0	1	6	15	0	3	1617	498	4748	603	8928	522	1	3761	876	484	6	6	0	2142	43	50	4	71	1721	19	48	348	1	3101	4	1	1495	5553	59	7	1618	197	1854	0	19	5059	1179	35	37	1155	136	1220	15	2751	12	212	18	45	281	129	4187	3	403	257	20	815	42	25	2170	119	179	2906	358	73	5812	294	5637	43	11	8	435	232	11	6159	172	0	0	677	0	81	5	6	66	27	633	2	67	4372	13	1140	276	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	2895	6293	68	16	97	64	46	26	115	56	1958	981	546	11429	100	22	59	4	140	98439	97651	894	46536	768	2232	4922	15336	18348	39	105	785	36	642	223	483	175	745	2125	0	647	205	561	2460	1453	3701	410	1678	2058	77	64	4587	208	1400	79	116	32	128	66	72	0	134	0	0	439	0	18	0	0	2	12	0	2087	13	0	71	163	2490	16	0	29	7944	3	0	33	11	13	13	0	0	169	84	374	436	16	836	609	166	2330	126	32	102	420	325	176	52	1073	14	0	24	47	434	49	1	6	195	33	303	158	39675	64	68	15853	373	1113	226	219	1288	3	2656	2516	2278	3275	0	404	995	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae	0	0	0	0	0	0	0	19	384	18	0	0	0	3	2	5	0	0	2	0	0	19	0	12	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	4	0	0	5	0	3	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	0	873	437	0	91	47	5	505	81	714	12	2012	560	16	2400	20	202	0	2398	3	0	2508	6	2837	13	149	45	16	0	1556	3946	0	4673	78	20	78	66	90	1	5	0	0	174	14	402	68	1377	74	5	1976	112	0	0	76	1	2918	0	21	11	0	91	2	0	42	0	254	2	0	2202	28	0	0	469	6	64	0	0	1950	12	20	0	248	363	164	3	9273	1	0	2	12	178	402	3057	5	16	305	14	121	13	5	1122	1	7	2476	0	14	518	42	388	0	6	19	0	278	0	9586	168	9	0	3743	0	110	12	7	17	15	691	0	40	575	30	223	1136	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae	0	0	0	0	0	0	0	0	0	0	0	11	3	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	0	0	1	0	3	0	2	4	0	43	0	0	2	0	0	106	0	0	25	0	0	2	0	3	0	0	1	0	0	11	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	23	0	0	0	0	41	0	0	3	0	51	0	0	3	106	0	0	1	0	30	0	0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	5	0	3	0	0	0	7	0	5	29	0	0	8	0	26	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	0	0	1	1	0	0	15	19	11	1	4	31	16	3	3	77	11	252	0	1	0	0	0	0	0	0	5	8	44	3	0	0	7	4	0	4	3	12	4	40	0	0	0	11	1	6	3	42	53	5	4	0	11	25	51	2	0	25	0	0	2	6	2	8	0	9	180	0	0	26	5	9	1	55	22	1	34	0	0	0	4	0	1	2	1	0	6	2	0	12	0	0	0	0	0	0	0	0	12	7	0	0	13	1	7	5	2	232	5	0	0	1	0	1	147	0	0	26	2	0	0	7	37	27	30	28	7	0	4	0	2	1	0	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	33	1289	414	319	410	1506	1060	628	1110	775	170	977	764	1478	3741	1979	1131	540	1902	28	11	1760	86	1783	112	1214	81	2	141	979	1895	203	1625	134	325	50	463	449	391	39	12	469	333	300	2301	173	1698	152	9	402	1127	821	193	1133	379	2335	154	293	56	0	2814	2748	1670	1338	345	3333	874	148	1167	3350	1341	42	953	137	829	52	25	1814	329	0	33	438	56	1950	2442	1701	2757	19	114	33	492	759	2510	12	3059	658	226	1228	4892	653	869	920	2613	4198	215	229	3993	89	5207	8748	20	29	692	724	9439	4740	1041	440	18	2422	0	267	45	671	4142	231	3681	0	152	1330	163	1468	1097	3952	2280	2654
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	0	0	0	0	0	0	6	0	0	0	0	0	0	19	1	4	0	3	0	3	13	3	6	0	3	0	0	17	0	0	0	0	0	0	9	1	8	9	0	1	0	0	0	0	1	1	1	21	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	29	1	0	99	1	3	0	0	0	21	23	6	20	3	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;[Tissierellaceae]	0	0	0	0	0	0	0	9	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	17	83	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae	0	0	0	0	2	0	0	8	0	7	0	1	0	0	2	0	1	0	3	0	0	5	0	2	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	6	7	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae	0	0	0	0	0	0	6	71	12	13	0	1	0	0	4	0	15	0	0	20	8	64	27	14	46	59	13	29	0	1	0	0	26	16	29	6	156	108	0	3	0	0	0	7	0	0	0	0	38	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;?	0	1215	1666	0	2602	58	55	203	38	181	2	825	332	1	1277	260	546	173	590	1	0	1523	0	742	0	449	23	3	2	645	1709	3	688	2	0	0	0	1	1	17	0	1	82	63	275	19	423	44	46	1312	155	583	0	125	18	468	2	62	0	163	3478	195	36	197	82	906	0	39	245	297	0	21	1496	9	1272	0	0	1692	1	1	5	446	0	784	26	908	0	0	0	39	106	94	2351	0	5	30	0	117	247	1	352	605	1145	367	0	20	3028	180	3149	2	3	1	173	31	0	843	355	0	0	65	139	55	1	0	103	9	2246	0	1	110	1	194	167	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	1491	10496	20461	2924	37199	785	34220	34966	75865	26335	104	38842	9331	4668	15944	29302	29349	4484	15635	151	21	21881	179	17315	372	3937	147	67	874	10537	11951	8703	6540	1469	6172	338	2083	257	67320	4993	1915	32159	5081	5447	15097	659	11831	2863	4942	22788	8794	11301	5639	27533	6981	11893	547	36466	5999	3255	31432	9293	3154	6724	971	18950	15431	312	11762	21439	921	842	23898	1310	40423	3026	4743	21754	1096	222	480	4758	6251	10978	5535	7322	5330	509	664	1973	1631	4171	11636	863	14319	1511	2954	14527	37824	6096	45631	23711	54684	31335	14236	1759	10573	2043	6708	1931	206	83	1660	968	5282	9496	927	27446	4781	10574	5959	34892	1895	1856	2158	3462	6083	659	619	7653	613	6152	2419	400	197	504
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	0	308	118	0	244	0	0	5	10	102	0	137	61	0	94	114	37	95	386	0	0	141	0	99	0	4	0	0	0	191	100	0	44	0	0	0	0	0	0	0	0	0	25	1	20	0	43	6	0	350	24	0	0	0	0	156	0	2	0	0	45	86	46	97	0	102	0	0	67	123	0	4	412	0	477	0	1	30	0	0	1	33	0	26	13	313	0	0	45	1	0	56	209	0	72	30	0	27	6	2	376	0	0	421	0	0	240	1	171	5	0	4	0	9	0	344	0	0	0	0	0	0	0	0	2	0	82	0	0	7	0	33	2	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;?	2	1178	2057	0	3259	92	78	473	116	2095	0	5107	2242	5	5420	999	4362	3	2847	19	7	3467	30	2632	5	183	12	0	30	2631	3771	4	1113	2	7	5	43	184	3	24	2	3	1863	1000	857	161	1202	742	78	4435	1626	1	0	16	0	1570	2	52	53	322	237	17	3	359	92	1603	2	5	1156	889	158	46	2960	189	2810	141	8	1311	91	23	55	1988	0	1184	76	3805	253	31	34	142	278	574	3194	121	658	197	600	2280	244	30	6091	18	164	3530	262	27	3948	0	1919	47	7	0	0	168	226	2159	1	16	112	427	0	89	0	0	120	1	1388	0	38	1458	21	1675	87	189	155	39
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	0	707	1469	0	3559	35	11653	3854	8532	4575	0	65	73	2	372	1338	331	6	822	0	3	161	0	291	0	30	0	0	109	531	475	99	556	1	1	0	10	27	4655	1179	202	14205	17	103	22	9	40	98	183	743	48	1780	474	1466	1342	245	0	300	519	0	577	976	274	911	0	662	2657	0	266	1151	131	39	128	6	973	148	4	529	0	0	10	42	677	41	1301	291	1125	158	40	39	48	555	811	0	1366	58	241	252	9110	372	210	10187	14562	489	0	8	294	0	267	168	22	1	1265	13	102	168	412	2	0	253	0	221	1	0	4	8	92	0	0	49	0	72	319	15	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	10	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	4	0	35	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	28	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	6	12315	26448	2	29613	904	606	2715	851	10427	10	20842	7069	32	11077	9161	13037	562	15697	2	1	34076	2	27514	2	1656	106	0	49	16504	20352	1125	10984	14	31	2	7	12	1357	65	173	954	2856	832	18513	264	18048	560	28	27333	4713	1630	71	122	380	16474	298	111	94	264	9396	254	33	2080	0	6026	6	46	4756	10275	31	18	10726	541	9429	2	8	18920	96	63	88	7408	305	6558	251	12984	87	241	343	669	1901	1467	13171	172	4412	2254	10	3347	192	37	25835	222	408	21921	603	186	15873	2489	7027	57	72	36	36	877	25	10823	1128	61	90	13145	282	951	8	4	1379	5	38418	19	73	2296	66	3350	7092	9	5	0
