Species	10A	10B	10C	10D	10F	11A	11B	11C	11D	11F	12A	12B	12C	12D	12F	13A	13C	13D	13F	14A	14B	14C	14D	14F	15A	15B	15C	15D	16A	16B	16C	16D	16F	18A	18B	18C	18D	18F	19A	19B	19C	19D	20A	20B	20C	20D	20F	21A	21B	21C	21F	22A	22B	22C	22D	22F	23A	23B	23C	23D	23F	24A1	24A2	24B	24D	24F	25A	25B	25C	25F	26A	26B	26C	26D	26F	27A	27B	27C	27D	28A	28B	28C	28D	28F	29A	29C	29D1	29D2	30A	30B	30C	30D	30F	31A	31B	31C	31D	31F	32A	32B	32C	32D1	32D2	32F	33A	33B	33C	33D	33F	34A	34B	34C	34D	35A	35B	35C	35D	3A	3B	3C	3D	3F	4A	4B	4C	4D	4F	6A	6B	6C	6D	6F	7A	7B	7C	7D
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;?	0	2	22	1	39	0	15	20	59	54	0	19	3	13	19	21	26	0	7	0	0	13	0	2	2	2	0	0	0	6	1	4	0	2	7	0	6	0	5	17	0	2	0	0	0	0	0	2	4	7	1	0	0	62	6	3	0	38	0	207	4	4	3	0	0	11	24	0	1	3	10	3	19	0	167	2	9	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	18	21	0	11	29	6	1	0	0	0	2	0	0	0	0	0	0	0	3	7	1	0	27	0	0	0	5	15	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010;?	0	10	6	0	7	4	0	43	0	854	0	15	1	1	16	188	15	0	688	0	0	112	0	207	0	15	2	0	0	72	369	0	186	0	0	0	1	0	0	0	0	176	85	3	227	25	240	15	0	31	48	0	0	0	0	937	0	4	0	0	1141	0	0	20	0	428	0	0	295	192	48	0	167	87	266	0	0	1196	0	0	2	44	0	21	0	371	0	0	0	0	52	11	252	14	82	17	0	55	6	0	249	0	25	316	0	0	37	0	35	0	3	0	0	32	0	148	1	0	0	1	0	0	5	0	5	0	15	0	0	68	0	97	157	0	18	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;?	0	2167	2641	14	4402	32	2478	2330	3832	3467	14	865	1191	30	443	1888	3182	27	689	0	1	949	0	452	0	170	9	0	3	241	982	368	732	9	20	1	17	63	4399	61	29	2966	0	76	308	0	233	14	263	2156	69	1169	706	2311	1177	582	34	3791	445	176	714	623	379	359	0	582	1513	1	793	1401	31	57	1000	112	3285	198	0	6061	4	25	44	247	716	793	277	301	122	2	17	57	91	73	663	8	1864	138	43	156	7362	502	2736	3538	8062	910	776	12	3310	125	1605	161	5	5	0	88	308	137	64	0	0	990	0	514	0	0	10	0	135	1	0	62	0	28	663	73	71	17
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Clostridiales bacterium	0	0	8	0	49	0	2	25	33	32	0	1	3	0	2	54	2	0	92	0	0	17	0	8	0	13	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	68	0	64	0	0	11	0	0	0	7	0	54	0	18	0	0	79	0	0	26	0	16	0	0	22	40	0	1	22	0	95	0	0	6	0	0	0	5	0	0	3	5	0	0	0	0	0	0	1	0	0	0	0	1	36	13	11	0	0	14	0	0	0	0	4	6	4	0	0	0	0	4	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;?	0	0	30	0	31	0	40	12	44	25	2	1	0	0	3	17	3	0	19	0	0	7	0	6	0	0	0	0	0	1	20	0	18	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	12	0	0	11	0	3	0	0	101	0	0	0	0	36	0	0	12	21	0	0	14	0	52	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	22	0	0	0	0	3	0	0	0	0	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;?	0	387	254	0	518	40	195	113	812	164	1	241	108	0	77	824	229	2	289	0	0	1518	1	805	0	608	6	0	0	127	179	74	269	1	10	3	9	0	580	25	0	337	50	38	884	3	1143	19	12	256	75	8	103	262	5	507	48	898	34	205	702	54	15	115	0	246	27	0	488	740	17	9	500	1	768	6	11	43	0	0	3	452	0	437	108	98	3	0	15	30	0	65	46	38	335	26	5	102	129	62	1412	8	109	409	73	2	537	0	191	57	1	0	0	56	99	82	0	1	0	93	0	51	1	0	6	0	53	0	0	145	0	39	4	0	3	1
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas intestinalis	0	0	3	0	4	0	19	20	112	35	0	1	0	0	3	66	10	1	22	0	0	38	0	10	0	2	0	0	0	1	6	0	7	0	2	0	0	0	99	3	0	0	0	0	106	0	67	0	7	2	34	0	0	41	2	7	0	45	0	353	97	3	3	2	0	155	8	0	3	25	0	0	6	0	43	0	0	14	0	0	0	0	0	3	3	0	2	1	0	0	0	0	0	0	1	0	0	10	36	8	3	0	97	19	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0	32	0	8	0	0	0	0	6	0	0	15	0	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella;?	0	0	0	0	0	0	0	0	0	4	0	4	0	0	2	0	0	0	20	0	0	2	0	0	0	0	0	0	0	2	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group;?	0	0	11	0	13	0	22	11	188	19	0	7	2	0	3	21	3	1	4	0	0	35	0	17	0	16	3	0	0	143	35	0	15	0	0	0	0	0	38	5	0	0	0	0	1	0	23	0	1	4	4	0	0	22	0	3	0	18	27	0	10	9	0	136	0	7	5	86	1	26	0	0	7	0	34	0	0	0	0	0	0	7	0	37	0	0	1	0	0	4	0	0	61	25	350	0	0	2	11	4	119	0	23	50	2	0	5	0	3	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	3	0	0	2	0	0	0	0	0	0
